timestamp,run_id,license_key,stage,provider,model,is_batch,input_tokens,output_tokens,cached_tokens,cost_usd,latency_ms,success,error_message
2026-05-01T16:29:48.403419,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,2123,274,0,0.004024,6135,1,
2026-05-01T16:29:48.461848,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1849,270,0,0.003661,6193,1,
2026-05-01T16:29:48.721780,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1442,272,0,0.003163,6453,1,
2026-05-01T16:29:48.968668,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1053,302,0,0.002826,6700,1,
2026-05-01T16:29:53.206822,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1735,216,0,0.003249,4798,1,
2026-05-01T16:29:53.502658,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1354,221,0,0.002798,5327,1,
2026-05-01T16:29:54.186798,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,2285,292,0,0.004316,5720,1,
2026-05-01T16:29:54.405893,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1675,282,0,0.003504,5679,1,
2026-05-01T16:29:54.427275,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1892,249,0,0.003610,5454,1,
2026-05-01T16:29:58.905883,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,2247,295,0,0.004284,5696,1,
2026-05-01T16:30:00.438775,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,2344,301,0,0.004435,6933,1,
2026-05-01T16:30:00.757445,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1041,255,0,0.002576,6566,1,
2026-05-01T16:30:01.078649,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,901,292,0,0.002586,6667,1,
2026-05-01T16:30:01.553342,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,2384,323,0,0.004595,7123,1,
2026-05-01T16:30:04.609191,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,2348,287,0,0.004370,5700,1,
2026-05-01T16:30:06.768097,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1563,230,0,0.003104,6005,1,
2026-05-01T16:30:07.426926,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage2,google,gemini-2.5-pro,0,1789,284,0,0.003656,6985,1,
2026-05-01T16:30:18.478060,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage3,google,gemini-2.5-pro,0,791,276,0,0.002369,11048,1,
2026-05-01T16:30:18.861046,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage3,google,gemini-2.5-pro,0,2941,243,0,0.004891,11431,1,
2026-05-01T16:30:18.900990,e916b344-f8eb-4a96-8a39-7682c09cbbda,,stage3,google,gemini-2.5-pro,0,960,144,0,0.001920,11471,1,
2026-05-01T16:33:45.847073,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,904,0,0,0.000090,253,1,
2026-05-01T16:33:46.922250,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,59399,0,0,0.005940,1071,1,
2026-05-01T16:33:48.152501,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,59445,0,0,0.005945,1222,1,
2026-05-01T16:33:49.262155,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,59618,0,0,0.005962,1100,1,
2026-05-01T16:33:50.222905,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,59412,0,0,0.005941,956,1,
2026-05-01T16:33:51.279320,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,57834,0,0,0.005783,1052,1,
2026-05-01T16:33:51.937114,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,embedding,google,gemini-embedding-001,0,26283,0,0,0.002628,653,1,
2026-05-01T16:33:52.830116,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,487,47,0,0.000051,836,1,
2026-05-01T16:33:52.865245,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,471,29,0,0.000044,875,1,
2026-05-01T16:33:52.872668,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,476,47,0,0.000050,875,1,
2026-05-01T16:33:52.879952,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,477,44,0,0.000049,885,1,
2026-05-01T16:33:52.890134,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,505,49,0,0.000053,897,1,
2026-05-01T16:33:52.922634,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,482,44,0,0.000049,924,1,
2026-05-01T16:33:52.940182,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,481,55,0,0.000053,944,1,
2026-05-01T16:33:52.995183,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,422,37,0,0.000043,1004,1,
2026-05-01T16:33:53.003628,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,493,45,0,0.000050,1009,1,
2026-05-01T16:33:53.023449,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,481,58,0,0.000053,1027,1,
2026-05-01T16:33:53.670340,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,486,38,0,0.000048,773,1,
2026-05-01T16:33:53.687798,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,524,42,0,0.000052,815,1,
2026-05-01T16:33:53.721497,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,479,31,0,0.000045,832,1,
2026-05-01T16:33:53.729381,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,512,41,0,0.000051,796,1,
2026-05-01T16:33:53.781092,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,500,35,0,0.000048,901,1,
2026-05-01T16:33:53.851830,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,472,44,0,0.000049,820,1,
2026-05-01T16:33:53.922212,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,503,40,0,0.000050,1084,1,
2026-05-01T16:33:53.934233,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,491,47,0,0.000051,921,1,
2026-05-01T16:33:53.947466,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,469,44,0,0.000048,996,1,
2026-05-01T16:33:53.957924,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,503,43,0,0.000051,954,1,
2026-05-01T16:33:54.497233,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,480,37,0,0.000047,760,1,
2026-05-01T16:33:54.537944,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,475,40,0,0.000048,844,1,
2026-05-01T16:33:54.546828,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,463,44,0,0.000048,818,1,
2026-05-01T16:33:54.651202,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,457,45,0,0.000048,973,1,
2026-05-01T16:33:54.679830,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,466,54,0,0.000051,891,1,
2026-05-01T16:33:54.693099,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,421,36,0,0.000042,832,1,
2026-05-01T16:33:54.772275,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,492,46,0,0.000051,838,1,
2026-05-01T16:33:54.834458,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,451,47,0,0.000048,864,1,
2026-05-01T16:33:54.881935,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,490,52,0,0.000052,924,1,
2026-05-01T16:33:55.005092,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,500,81,0,0.000062,1058,1,
2026-05-01T16:33:55.427447,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,487,44,0,0.000050,919,1,
2026-05-01T16:33:55.441397,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,482,40,0,0.000048,886,1,
2026-05-01T16:33:55.499998,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,533,44,0,0.000053,954,1,
2026-05-01T16:33:55.598749,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,464,49,0,0.000049,897,1,
2026-05-01T16:33:55.608203,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,495,46,0,0.000051,919,1,
2026-05-01T16:33:55.626131,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,495,45,0,0.000051,971,1,
2026-05-01T16:33:55.746885,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,472,39,0,0.000047,904,1,
2026-05-01T16:33:55.758708,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,498,45,0,0.000051,974,1,
2026-05-01T16:33:55.828206,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,554,42,0,0.000054,811,1,
2026-05-01T16:33:55.855570,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,476,48,0,0.000050,962,1,
2026-05-01T16:33:56.247457,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,473,39,0,0.000047,812,1,
2026-05-01T16:33:56.363452,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,510,54,0,0.000054,912,1,
2026-05-01T16:33:56.429407,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,492,29,0,0.000046,918,1,
2026-05-01T16:33:56.449346,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,485,37,0,0.000047,806,1,
2026-05-01T16:33:56.513751,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,508,56,0,0.000055,894,1,
2026-05-01T16:33:56.526014,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,502,46,0,0.000051,918,1,
2026-05-01T16:33:56.538597,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,499,33,0,0.000047,770,1,
2026-05-01T16:33:56.628518,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,490,48,0,0.000051,791,1,
2026-05-01T16:33:56.670813,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,477,43,0,0.000049,912,1,
2026-05-01T16:33:56.719290,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,540,40,0,0.000053,855,1,
2026-05-01T16:33:57.085954,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,492,34,0,0.000047,830,1,
2026-05-01T16:33:57.254360,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,481,45,0,0.000050,878,1,
2026-05-01T16:33:57.308552,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,491,44,0,0.000050,783,1,
2026-05-01T16:33:57.319470,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,491,38,0,0.000048,770,1,
2026-05-01T16:33:57.340660,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,536,43,0,0.000053,899,1,
2026-05-01T16:33:57.352522,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,567,49,0,0.000057,891,1,
2026-05-01T16:33:57.448123,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,485,40,0,0.000048,765,1,
2026-05-01T16:33:57.509132,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,499,35,0,0.000048,870,1,
2026-05-01T16:33:57.611328,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,495,43,0,0.000050,883,1,
2026-05-01T16:33:57.630630,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,452,61,0,0.000052,1081,1,
2026-05-01T16:33:57.925859,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,493,41,0,0.000049,828,1,
2026-05-01T16:33:58.110198,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,489,29,0,0.000045,846,1,
2026-05-01T16:33:58.161323,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,489,45,0,0.000050,842,1,
2026-05-01T16:33:58.241703,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,507,42,0,0.000051,911,1,
2026-05-01T16:33:58.258699,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,511,51,0,0.000054,894,1,
2026-05-01T16:33:58.278731,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,502,43,0,0.000051,817,1,
2026-05-01T16:33:58.299291,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,512,54,0,0.000055,947,1,
2026-05-01T16:33:58.428808,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,507,44,0,0.000051,807,1,
2026-05-01T16:33:58.465485,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,513,43,0,0.000051,945,1,
2026-05-01T16:33:58.563556,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,479,41,0,0.000048,919,1,
2026-05-01T16:33:58.878967,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,484,39,0,0.000048,939,1,
2026-05-01T16:33:58.961035,2fded9ca-8a46-4b6f-98db-15e6e9325ef7,,stage1,google,gemini-2.5-flash,0,491,41,0,0.000049,707,1,
